year,cycles_year,annual_degradation_%,cumulative_degradation_%,soh_%,residual_capacity_kwh,c_rate,soc_window_%,degradation_source
0,0.0,4.986666666666667,4.986666666666667,95.01333333333332,950.1333333333333,0.5,5%-95%,FAT-SAT Storage
1,365.25,0.2466849901492992,5.233351656815964,94.76664834318403,947.6664834318403,0.5,5%-95%,Cyclic + Calendar
2,365.25,0.10211433543380509,5.335465992249772,94.66453400775022,946.6453400775023,0.5,5%-95%,Cyclic + Calendar
3,365.25,0.07832889695586118,5.413794889205631,94.58620511079437,945.8620511079437,0.5,5%-95%,Cyclic + Calendar
4,365.25,0.06601664800743948,5.479811537213076,94.52018846278692,945.2018846278693,0.5,5%-95%,Cyclic + Calendar
5,365.25,0.05814844242996741,5.5379599796430385,94.46204002035697,944.6204002035696,0.5,5%-95%,Cyclic + Calendar
6,365.25,0.052559412850837366,5.590519392493871,94.40948060750613,944.0948060750612,0.5,5%-95%,Cyclic + Calendar
7,365.25,0.048324318358584153,5.638843710852463,94.36115628914754,943.6115628914754,0.5,5%-95%,Cyclic + Calendar
8,365.25,0.044971387476039126,5.683815098328504,94.31618490167149,943.161849016715,0.5,5%-95%,Cyclic + Calendar
9,365.25,0.04223120952949557,5.726046307857999,94.273953692142,942.73953692142,0.5,5%-95%,Cyclic + Calendar
10,365.25,0.03993717326593469,5.765983481123927,94.23401651887607,942.3401651887607,0.5,5%-95%,Cyclic + Calendar
11,365.25,0.037979937935767795,5.803963419059703,94.1960365809403,941.960365809403,0.5,5%-95%,Cyclic + Calendar
12,365.25,0.0362843634283422,5.840247782488035,94.15975221751197,941.5975221751196,0.5,5%-95%,Cyclic + Calendar
13,365.25,0.03479687403709022,5.875044656525132,94.12495534347487,941.2495534347487,0.5,5%-95%,Cyclic + Calendar
14,365.25,0.03347809925815,5.908522755783287,94.09147724421672,940.9147724421672,0.5,5%-95%,Cyclic + Calendar
15,365.25,0.032298369510203886,5.940821125293479,94.05917887470652,940.5917887470652,0.5,5%-95%,Cyclic + Calendar
16,365.25,0.031234843457252737,5.972055968750736,94.02794403124926,940.2794403124926,0.5,5%-95%,Cyclic + Calendar
17,365.25,0.030269611305163834,6.002325580055896,93.9976744199441,939.976744199441,0.5,5%-95%,Cyclic + Calendar
18,365.25,0.029388404846963565,6.031713984902862,93.96828601509714,939.6828601509714,0.5,5%-95%,Cyclic + Calendar
19,365.25,0.02857969739762893,6.0602936823005,93.9397063176995,939.3970631769951,0.5,5%-95%,Cyclic + Calendar
20,365.25,0.027834061557985023,6.088127743858476,93.91187225614152,939.1187225614152,0.5,5%-95%,Cyclic + Calendar
21,365.25,0.027143701818351927,6.1152714456768305,93.88472855432317,938.8472855432317,0.5,5%-95%,Cyclic + Calendar
22,365.25,0.02650210838860403,6.141773554065438,93.85822644593456,938.5822644593457,0.5,5%-95%,Cyclic + Calendar
23,365.25,0.02590379676004204,6.167677350825478,93.83232264917453,938.3232264917452,0.5,5%-95%,Cyclic + Calendar
24,365.25,0.025344108982483248,6.193021459807954,93.80697854019205,938.0697854019204,0.5,5%-95%,Cyclic + Calendar
25,365.25,0.024819060083325437,6.217840519891285,93.78215948010872,937.8215948010871,0.5,5%-95%,Cyclic + Calendar
26,365.25,0.02432521798821199,6.2421657378795,93.7578342621205,937.578342621205,0.5,5%-95%,Cyclic + Calendar
27,365.25,0.023859608634381857,6.266025346513879,93.73397465348611,937.3397465348612,0.5,5%-95%,Cyclic + Calendar
28,365.25,0.02341964025906691,6.289444986772952,93.71055501322705,937.1055501322705,0.5,5%-95%,Cyclic + Calendar
29,365.25,0.023003042444941002,6.312448029217886,93.68755197078211,936.8755197078211,0.5,5%-95%,Cyclic + Calendar
30,365.25,0.022607816639003887,6.335055845856899,93.6649441541431,936.6494415414311,0.5,5%-95%,Cyclic + Calendar
31,365.25,0.022232195677190703,6.35728804153408,93.64271195846592,936.4271195846592,0.5,5%-95%,Cyclic + Calendar
32,365.25,0.021874610438760555,6.379162651972847,93.62083734802715,936.2083734802716,0.5,5%-95%,Cyclic + Calendar
33,365.25,0.0215336621928941,6.4006963141657325,93.59930368583427,935.9930368583426,0.5,5%-95%,Cyclic + Calendar
34,365.25,0.021208099522721114,6.421904413688462,93.57809558631153,935.7809558631154,0.5,5%-95%,Cyclic + Calendar
35,365.25,0.02089679895827885,6.442801212646729,93.55719878735327,935.5719878735326,0.5,5%-95%,Cyclic + Calendar
36,365.25,0.020598748632914974,6.4633999612796496,93.53660003872035,935.3660003872035,0.5,5%-95%,Cyclic + Calendar
37,365.25,0.020313034421599242,6.4837129957012465,93.51628700429875,935.1628700429875,0.5,5%-95%,Cyclic + Calendar
38,365.25,0.020038828126757835,6.503751823828003,93.49624817617199,934.9624817617199,0.5,5%-95%,Cyclic + Calendar
39,365.25,0.019775377364214818,6.523527201192228,93.47647279880778,934.7647279880778,0.5,5%-95%,Cyclic + Calendar
40,365.25,0.019521996867092637,6.543049198059317,93.45695080194069,934.5695080194068,0.5,5%-95%,Cyclic + Calendar
41,365.25,0.019278060978535905,6.5623272590378425,93.43767274096216,934.3767274096215,0.5,5%-95%,Cyclic + Calendar
42,365.25,0.019042997146084418,6.581370256183941,93.41862974381606,934.1862974381606,0.5,5%-95%,Cyclic + Calendar
43,365.25,0.01881628026336557,6.600186536447305,93.39981346355269,933.998134635527,0.5,5%-95%,Cyclic + Calendar
44,365.25,0.018597427731390326,6.618783964178686,93.38121603582131,933.8121603582131,0.5,5%-95%,Cyclic + Calendar
45,365.25,0.018385995134292444,6.63716995931298,93.36283004068702,933.6283004068702,0.5,5%-95%,Cyclic + Calendar
46,365.25,0.018181572440801118,6.655351531753786,93.34464846824622,933.4464846824621,0.5,5%-95%,Cyclic + Calendar
47,365.25,0.01798378065749375,6.6733353124112815,93.32666468758872,933.2666468758872,0.5,5%-95%,Cyclic + Calendar
48,365.25,0.01779226887188088,6.691127581283161,93.30887241871683,933.0887241871684,0.5,5%-95%,Cyclic + Calendar
49,365.25,0.01760671163267489,6.708734292915826,93.29126570708416,932.9126570708416,0.5,5%-95%,Cyclic + Calendar
50,365.25,0.01742680662262046,6.726161099538458,93.27383890046154,932.7383890046154,0.5,5%-95%,Cyclic + Calendar
51,365.25,0.017252272586347317,6.743413372124812,93.2565866278752,932.565866278752,0.5,5%-95%,Cyclic + Calendar
52,365.25,0.017082847480367036,6.760496219605168,93.23950378039483,932.3950378039483,0.5,5%-95%,Cyclic + Calendar
53,365.25,0.016918286818042815,6.777414506423218,93.22258549357679,932.2258549357679,0.5,5%-95%,Cyclic + Calendar
54,365.25,0.01675836218570339,6.794172868608916,93.20582713139109,932.0582713139108,0.5,5%-95%,Cyclic + Calendar
55,365.25,0.016602859908846312,6.810775728517757,93.18922427148225,931.8922427148224,0.5,5%-95%,Cyclic + Calendar
56,365.25,0.016451579851525365,6.8272273083692925,93.17277269163071,931.7277269163071,0.5,5%-95%,Cyclic + Calendar
57,365.25,0.01630433433304006,6.843531642702322,93.15646835729767,931.5646835729767,0.5,5%-95%,Cyclic + Calendar
58,365.25,0.016160947148534888,6.859692589850858,93.14030741014913,931.4030741014914,0.5,5%-95%,Cyclic + Calendar
59,365.25,0.016021252682480735,6.875713842533349,93.12428615746666,931.2428615746666,0.5,5%-95%,Cyclic + Calendar
60,365.25,0.015885095104147238,6.89159893763749,93.10840106236252,931.0840106236251,0.5,5%-95%,Cyclic + Calendar
61,365.25,0.01575232763659642,6.9073512652740865,93.09264873472591,930.9264873472591,0.5,5%-95%,Cyclic + Calendar
62,365.25,0.015622811891500988,6.922974077165588,93.07702592283441,930.7702592283441,0.5,5%-95%,Cyclic + Calendar
